order_id,customer_id,order_date,product_id,product_name,product_price,quantity
101,2001,2024-02-01,3001,Wireless Earbuds,59.99,2
102,2002,2024-02-02,3002,Smart Watch,149.99,1
103,2003,2024-02-03,3003,Electric Kettle,39.99,1
104,2004,2024-02-04,3004,Portable Speaker,99.99,3
105,2005,2024-02-05,3005,Kindle E-reader,129.99,1
106,2006,2024-02-06,3006,Smartphone Stand,14.99,5
107,2007,2024-02-07,3007,Digital Camera,499.99,1
108,2008,2024-02-08,3008,Blender,79.99,2
109,2009,2024-02-09,3009,Wireless Mouse,24.99,4
110,2010,2024-02-10,3010,Noise Cancelling Headphones,199.99,1
111,2001,2024-02-11,3011,Fitness Tracker,69.99,1
112,2011,2024-02-12,3012,Electric Toothbrush,49.99,2
113,2012,2024-02-13,3013,Instant Pot,89.99,1
114,2013,2024-02-14,3014,Robot Vacuum,249.99,1
115,2014,2024-02-15,3015,Smart Thermostat,199.99,1
116,2015,2024-02-16,3016,Air Purifier,149.99,1
117,2016,2024-02-17,3017,4K Ultra HD TV,599.99,1
118,2017,2024-02-18,3018,Smart Light Bulbs,29.99,6
119,2018,2024-02-19,3019,Electric Scooter,349.99,1
120,2019,2024-02-20,3020,WiFi Range Extender,39.99,2